Cliente;Vendedor;CNPJ;Grupo Economico
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 16;NILCEIA AP DE SOUZA;6,04376E+13;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 16;NILCEIA AP DE SOUZA;6,04376E+13;BARBOSA
BARBOSA - SILVA E BARBOSA COMERCIO DE ALIMENTOS - 16;NILCEIA AP DE SOUZA;6,04376E+13;BARBOSA
RICARDO ISSAO TOYOFUKE;TELEVENDAS - DA TERRINHA;29568789804;COLABORADORES DA TERRINHA
STYLLUS - CATANHO E CATANHO LTDA - 02;FELIPE GOMES;5,4902E+13;STYLLUS
STYLLUS - CATANHO E CATANHO LTDA - 02;FELIPE GOMES;5,4902E+13;STYLLUS
STYLLUS - CATANHO E CATANHO LTDA - 02;FELIPE GOMES;5,4902E+13;STYLLUS
STYLLUS - SUPERMERCADO STYLLUS LTDA - 01;FELIPE GOMES;7,17137E+13;STYLLUS
STYLLUS - SUPERMERCADO STYLLUS LTDA - 01;FELIPE GOMES;7,17137E+13;STYLLUS
STYLLUS - SUPERMERCADO STYLLUS LTDA - 01;FELIPE GOMES;7,17137E+13;STYLLUS
STYLLUS - COM DE PROD ALIMENT STYLLUS DE IGARAT - 03;FELIPE GOMES;5,39155E+13;STYLLUS
STYLLUS - COM DE PROD ALIMENT STYLLUS DE IGARAT - 03;FELIPE GOMES;5,39155E+13;STYLLUS
STYLLUS - COM DE PROD ALIMENT STYLLUS DE IGARAT - 03;FELIPE GOMES;5,39155E+13;STYLLUS
ITAMAMBUCA COMERCIO DE ALIMENTOS LTDA - 01;JULIANA RIBEIRA;8,27157E+12;ITAMAMBUCA
J SILVA CARVALHO;INES MARTIN;4,34887E+13;BAR DO TOCO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO & ROTISSERIE BOA PRACA LTDA;CAROLINA DOS SANTOS ROCHA;8,82463E+12;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO ESTADIO & ROTISSERIE LTDA;CAROLINA DOS SANTOS ROCHA;1,615E+11;ESTADIO
MERCADINHO INTERLAGOS CENTER LTDA;ERICK MOREIRA;6,73155E+13;INTERLAGOS CENTER LTDA
MERCADINHO INTERLAGOS CENTER LTDA;ERICK MOREIRA;6,73155E+13;INTERLAGOS CENTER LTDA
MERCADINHO JVC LTDA;PEDRO LACERDA;4,97249E+12;JVC
MERCADINHO JVC LTDA;MARIO MAYORAL;4,97249E+12;JVC
MERCADINHO JVC LTDA;ANDREZA LOPES ALVES - V;4,97249E+12;JVC
MERCADINHO MANBS LTDA;INES MARTIN;2,64921E+12;MANBS
MERCADINHO MANBS LTDA;INES MARTIN;2,64921E+12;MANBS
MERCADINHO MANBS LTDA;INES MARTIN;2,64921E+12;MANBS
MERCADINHO MANBS LTDA;INES MARTIN;2,64921E+12;MANBS
SUPERMERCADO CATANDUVA LTDA;LEANDRO GOLDINHO LOPES;6,27925E+13;CATANDUVA
SUPERMERCADO CATANDUVA LTDA;LEANDRO GOLDINHO LOPES;6,27925E+13;CATANDUVA
SUPERMERCADO CATANDUVA LTDA;LEANDRO GOLDINHO LOPES;6,27925E+13;CATANDUVA
MERCADO VIOLETA LTDA - 02;LEANDRO GOLDINHO LOPES;4,74267E+12;VIOLETA
MERCADO VIOLETA LTDA - 02;LEANDRO GOLDINHO LOPES;4,74267E+12;VIOLETA
MERCADO VIOLETA LTDA - 02;LEANDRO GOLDINHO LOPES;4,74267E+12;VIOLETA
MERCADO VIOLETA LTDA - 02;LEANDRO GOLDINHO LOPES;4,74267E+12;VIOLETA
PADARIA E CONFEITARIA VIVA A NOITE LTDA;EDVALDO DOS SANTOS PEREIRA;6,04867E+13;PADARIA VIVA NOITE - JEQUIRITUBA
HORT MAIS - REDE HORT MAIS HORTIFRUTI LTDA - SABARA;FELIPE GOMES;7,84474E+12;HORT MAIS
HORT MAIS - REDE HORT MAIS HORTIFRUTI LTDA - SABARA;FELIPE GOMES;7,84474E+12;HORT MAIS
HORT MAIS - REDE HORT MAIS HORTIFRUTI LTDA - SABARA;FELIPE GOMES;7,84474E+12;HORT MAIS
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
MERCADINHO NIKKEY LT;INES MARTIN;4,62135E+13;NIKKEY
SUPERMERCADO CLUB DE CAMPO LTDA;GILMERIO QUEIROZ - GERENTE DE AREA;4,4008E+13;CLUB DE CAMPO
SUPERMERCADO CLUB DE CAMPO LTDA;GILMERIO QUEIROZ - GERENTE DE AREA;4,4008E+13;CLUB DE CAMPO
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
SUPERMERCADO AGATE CASA VERDE LTDA;CARLOS FERREIRA;7,28915E+12;SUPERMERCADO AGATE
ALTA ROTACAO - SUPERMERCADO ALTA ROTACAO LTDA - 01;MARIO MIZUKA;2,8952E+12;ALTA ROTACAO
SUPERMERCADOS BANDEIRA LTDA;MARIO MIZUKA;4,76583E+13;BANDEIRA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
SUPERMERCADO GEOVANNA LTDA;CAROLINA DOS SANTOS ROCHA;1,89006E+12;SUPERMERCADO GEOVANNA
